author,title,controlno,call_no
"Ignatova, Zoya",DNA computing models,000001650997,003.5 008a
"Clarke, Bruce",Emergence and embodiment : new essays on second-order systems theory,000001591689,003.5 009a
"Pickering, Andrew",The cybernetic brain : sketches of another future,000001608133,003.5 010a
"Gladkikh, V. V. (Vasiliy Viktorvich)",Ideas and solutions for fundamental problems of science and technology,000001618714,003.5 010b
유화 劉禾,The Freudian robot : digital media and the future of the unconscious,000001619314,003.5 010c
"Duncan, Robert","Project : soul catcher . v. 2, Secrets of cyber and cybernetic warfare revealed",000001763317,003.5 010d 
"Nicolelis, Miguel",Beyond boundaries : the new neuroscience of connecting brains with machines--and how it will change our lives,000001625118,003.5 011a
"Grice, James W.",Observation oriented modeling : analysis of cause in the behavioral sciences,000001756339,003.5 011b 
"Nicolelis, Miguel",뇌의 미래 : 인류의 미래를 뒤바꿀 뇌과학 혁명,000001202543,003.5 012가
"Nicolelis, Miguel",뇌의 미래 : 인류의 미래를 뒤바꿀 뇌과학 혁명,000000834700,003.5 012가
"Wiener, Norbert","Cybernetics ; or, Control and communication in the animal and the machine",000001817359,003.5 013a
"Hayles, N. Katherine","우리는 어떻게 포스트 휴먼이 되었는가 : 사이버네틱스와 문학, 정보 과학의 신체들",000001222490,003.5 013가
임창환,"뇌를 바꾼 공학, 공학을 바꾼 뇌 : 뇌공학의 현재와 미래",000001739842,003.5 015가 
"Fischer, Thomas",Design cybernetics : navigating the new,000002017437,003.5 019a
"Wiener, Norbert",Cybernetics : or Control and communication in the animal and the machine,000001370581,003.5 48a
"Ashby, William Ross",An introduction to cybernetics,000001376044,003.5 56a
"Wiener, Norbert",サイバネティックス : 動物と 機械における 制御と 通信,000000286678,003.5 57가
"Machol, Robert E",Information and decision processes,000001373470,003.5 60a
"Bell, D. A",Intelligent machines : an introduction to cybernetics,000001372488,003.5 62a
"Wiener, Norbert",サイバネティックス : 動物と 機械における 制御と 通信,000000283218,003.5 62가
"Jacker, Corinne","Man, memory, and machines : an introduction to cybernetics",000001376048,003.5 64a
"Arbib, Michael A","Brains, machines, and mathematics",000001374269,003.5 64b
"Wiener, Norbert","God and Golem, inc. : a comment on certain points where cybernetics impinges on religion",000001371720,003.5 64c
"Wiener, Norbert",科學と 神 : サイバネティックスと 宗敎,000000283955,003.5 65
"Singh, Jagjit","Great ideas in information theory, language and cybernetics",000001376405,003.5 66a
"Taube, Mortimer",Der Mythos der Denkmaschine : kritische Betrachtungen zur Kybernetik,000001668888,003.5 66b
"Arbib, Michael A","頭腦, 機械, 數學 : サイバネティクス入門",000000329240,003.5 67
"Gérardin, Lucien",Bionics,000001376041,003.5 68a
"Bionics Symposium (1966 : Dayton, Ohio)",Cybernetic problems in bionics,000001374138,003.5 68b
International Congress of Cybernetics (1st : 1969 : London),"Progress of cybernetics : proceedings of the first International Congress of Cybernetics, London, 1969, v. 2, Cybernetics and industry, social and economic consequences, cybernetics and artifacts",000001376326,003.5 70a
"Lerner, Aleksandr IAkovlevich",Fundamentals of cybernetics,000001367847,003.5 72a
"Glaser, Hermann",Kybernetikon : Neue Modelle der Information und Kommunikation,000001376346,003.5 72b
"Harmon, Glynn",Human memory and knowledge : a systems approach,000001372480,003.5 73a
"Young, John Frederick",Cybernetic engineering,000001371683,003.5 73b
International Congress of Cybernetics and Systems (1972 : University of Oxford),"Advances in cybernetics and systems, v. 3",000001369692,003.5 74a
"Glorioso, Robert M",Engineering cybernetics,000001379615,003.5 75a
"Trappl, Robert","Progress in cybernetics and systems research, v. 2, Socio-economic systems, cybernetics of cognition and learning, systems education, cybernetics in organization and management, special aspects",000001370418,003.5 75b
"Anderson, John R. (John Robert)","Language, memory, and thought",000001374096,003.5 76a
"Darrow, Frank M",Cybernetics versus homeostasis,000001371682,003.5 77a
"Trappl, Robert",Cybernetics : theory and applications,000001377663,003.5 83b
"Caianiello, Eduardo R.","Cybernetic systems : recognition, learning, self organisation",000001368730,003.5 84a
International Conference on Cybernetics and Society (1985 : Arizona),"IEEE 1985 proceedings of the International Conference on Cybernetics and Society, Tucson, Arizona, November 12-15, 1985",000001379879,003.5 85a
김광영 金光永,情報와 人間理解,000000324110,003.5 86
김광영 金光永,情報와 人間理解,000000261952,003.5 87
"Arbib, Michael A","Brains, machines, and mathematics",000001374128,003.5 87a
김광영 金光永,정보와 변증법적 사고,000000334937,003.5 90 
"Vijver, Gertrudis van de","New perspectives on cybernetics : self-organization, autonomy, and connectionism",000001300596,003.5 92a
"Trentelman, H. L",Essays on control : perspectives in the theory and its applications,000001466784,003.5 93a
"Gray, Chris Hables",The cyborg handbook,000001795981,003.5 95a
"Kapitaniak, Tomasz",Controlling chaos : theoretical and practical methods in non-linear dynamics,000001537132,003.5 96a
"Hayles, N. Katherine","How we became posthuman : virtual bodies in cybernetics, literature, and informatics",000001577907,003.5 99a
"Wang, Hsiao-Fan",Intelligent data analysis : developing new methodologies through pattern discovery and recovery,000001350314,003.52 009a
이정모 李政模,"인지과학 : 마음, 언어, 계산",000000292185,003.52 89가 
"Dasarathy, Belur V",Nearest neighbor (NN) norms : nn pattern classification techniques,000001435700,003.52 91a
"Kharin,  I︠U︡. S",Robustness in statistical pattern recognition,000001576406,003.52015195 96a
"Hankerson, Darrel R",Coding theory and cryptography : the essentials,000001566181,003.54 000a
"International Conference on Coding Theory, Cryptography, and Related Areas (1998 : Guanajuato, Mexico)","Coding theory, cryptography, and related areas : proceedings of an International Conference on Coding Theory, Cryptography, and Related Areas, held in Guanajuato, Mexico, in April 1998",000001573475,003.54 000b
"Sowa, John F","Knowledge representation : logical, philosophical, and computational foundations",000001573590,003.54 000c
"Arndt, C. (Christoph)",Information measures : information and its decription in science and engineering,000001557326,003.54 001a
"Chugg, Keith M","Iterative detection : adaptivity, complexity reduction, and applications",000001302333,003.54 001b
"Green, Rebecca",The semantics of relationships : an interdisciplinary perspective,000001273421,003.54 002a
"Renz, Jochen",Qualitative spatial reasoning with topological information,000001260980,003.54 002b
"International Conference on Conceptual Structures (10th : 2002 : Borovets, Bulgaria)","Conceptual structures: integration and interfaces : 10th International Conference on Conceptual Structures, ICCS 2002, Borovets, Bulgaria, July 15-19, 2002 : proceedings",000001275720,003.54 002c
"Calude, Cristian",Information and randomness : an algorithmic perspective,000001315768,003.54 002d
"MacKay, David J. C","Information theory, inference, and learning algorithms",000001291465,003.54 003a
"Wicker, Stephen B","Fundamentals of codes, graphs, and iterative decoding",000001286184,003.54 003b
"Ling, San",Coding theory : a first course,000001710042,003.54 004a
"Buchmann, Johannes",Introduction to cryptography,000001289108,003.54 004b
"McEliece, Robert J.",The theory of information and coding,000001710732,003.54 004b
"Johnson, Oliver",Information theory and the central limit theorem,000001711488,003.54 004c
"Csiszár, Imre",Information theory and statistics : a tutorial,000001357885,003.54 004c
박진수,좋은 코딩 나쁜 코딩 : 읽기 쉬운 코드가 좋은 코드다,000000092195,003.54 004가
이민섭,정보이론,000000104148,003.54 004갸
"Csiszár, Imre",Information theory and statistics : a tutorial,000001715744,003.54 005a
조성진,(알기쉬운) 부호론,000001093365,003.54 005가
조성진,(알기쉬운) 부호론,000000071299,003.54 005가
"Fujiwara, E. (Eiji)",Code design for dependable systems : theory and practical applications,000001307710,003.54 006a
"Taleb, Nassim Nicholas",The black swan : the impact of the highly improbable,000001318369,003.54 007a
"Pérez-Montoro, Mario",The phenomenon of information : a conceptual approach to information flow,000001335642,003.54 007b
"Muller, Scott J",Asymmetry : the foundation of information,000001357230,003.54 007c
"Mollin, Richard A.",An introduction to cryptography,000001597489,003.54 007d
이종규,코스콤 20年史,000001114262,003.54 007가
"Micheloni, Rino",Error correction codes for non-volatile memories,000001360068,003.54 008a
"Hailman, Jack Parker",Coding and redundancy : man-made and animal-evolved signals,000001728203,003.54 008a
"Richardson, Thomas J. (Thomas Joseph)",Modern coding theory,000001343705,003.54 008b
"Adriaans, Pieter",Philosophy of information,000001625071,003.54 008c
좌천홍행 佐川弘幸,양자정보이론,000000210786,003.54 008가
"Taleb, Nassim Nicholas",블랙 스완 : 0.1%의 가능성이 모든 것을 바꾼다,000000244954,003.54 008갸
"Bose, Ranjan",정보와 부호이론,000000796733,003.54 008거
"Chein, Michel",Graph-based knowledge representation : computational foundations of conceptual graphs,000001348580,003.54 009a
"Gilboa, Itzhak",Theory of decision under uncertainty,000001584616,003.54 009b
"Staab, Steffen",Handbook on ontologies,000001616662,003.54 009c
"Berstel, Jean",Codes and automata,000001620382,003.54 010a
"West, Richard L",Introducing communication theory : analysis and application,000001626344,003.54 010b
"Vedral, Vlatko",Decoding reality : the universe as quantum information,000001760684,003.54 010c 
"Dehmer, Matthias",Towards an information theory of complex networks : statistical methods and applications,000001626336,003.54 011a
"Lima, Manuel",Visual complexity : mapping patterns of information,000001726768,003.54 011a
"Lima, Manuel",Visual complexity : mapping patterns of information,000001637211,003.54 011b
"Gray, Robert M",Entropy and information theory,000001635781,003.54 011c
"Taleb, Nassim",블랙 스완에 대비하라 : 최악의 상황에서도 살아남기 위한 10가지 원칙,000001176209,003.54 011가
"Taleb, Nassim Nicholas",블랙 스완에 대비하라 : 최악의 상황에서도 살아남기 위한 10가지 원칙,000000787932,003.54 011가
주언경,정보이론과 부호화,000000802063,003.54 011갸
"Losee, Robert M. (Robert MacLean)","Information from processes : about the nature of information creation, use, and representation",000001644614,003.54 012a
"Kythe, Dave K.",Algebraic and stochastic coding theory,000001730013,003.54 012a
"Galbraith, Steven D.",Mathematics of public key cryptography,000001677434,003.54 012b
"Katz, Joel",Designing information : human factors and common sense in information design,000001647807,003.54 012c
강정흥,기초 정보 이론,000000823864,003.54 012가
"Wilde, Mark",Quantum information theory,000001731441,003.54 013a
"Wilde, Mark",Quantum information theory,000001677261,003.54 013a
"Kelbert, Mark",Information Theory and Coding by Example,000001779121,003.54 013b 
"Heunen, Christiaan Johan Marie","Quantum physics and linguistics : a compositional, diagrammatic discourse",000001730145,003.54 013b 
박진수,좋은 코딩 나쁜 코딩,000001225103,003.54 013가
"Halpern, Orit",Beautiful data : a history of vision and reason since 1945,000001967259,003.54 014a
"Dumas, Jean-Guillaume","Foundations of coding : compression, encryption, error correction",000001742916,003.54 015a 
"Domingos, Pedro",The master algorithm : how the quest for the ultimate learning machine will remake our world,000001783859,003.54 015b
"Stone, James V",Information theory : a tutorial introduction,000002017431,003.54 015c
